title,price,productUrl,imageUrl,brand,category
Maggie Beer Quince Paste,$6.45,https://www.igashop.com.au/product/160000013729,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000013729.jpg",Maggie Beer,Dips and Pate
Mainland Lunch On The Go Balsamic Beetroot Relish,$5.00,https://www.igashop.com.au/product/494628,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/494628.jpg",Mainland,Platters
Obela Caramelised Onion Garnished Hommus,$4.90,https://www.igashop.com.au/product/190000001865,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000001865.jpg",Obela,Dips and Pate
Obela Classic Guacamole,$5.95,https://www.igashop.com.au/product/481662,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/481662.jpg",Obela,Dips and Pate
Obela Hommus Roasted Capsicum,$4.90,https://www.igashop.com.au/product/190000001867,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000001867.jpg",Obela,Dips and Pate
Obela Smooth Classic Hommus,$4.80,https://www.igashop.com.au/product/176694,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/176694.jpg",Obela,Dips and Pate
Obela Tzatziki Dip Classic,$4.90,https://www.igashop.com.au/product/625928,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/625928.jpg",Obela,Dips and Pate
Obela Tzatziki To Go Classic & Sakata Crackers,$4.10,https://www.igashop.com.au/product/190000001339,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000001339.jpg",Obela,Dips and Pate
Pasta Salad,$12.00/kg,https://www.igashop.com.au/product/80072008,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072008.jpg",,Prepared Foods and Salads
Pasta Salad,$4.90,https://www.igashop.com.au/product/80075008,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80075008.jpg",,Prepared Foods and Salads
Peppadew Stuffed With Feta,$44.00/kg,https://www.igashop.com.au/product/80072035,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072035.jpg",,Antipasto
Red Rock Deli Classics Cheesy Spinach & Garlic Cob,$4.70,https://www.igashop.com.au/product/793988,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/793988.jpg",Red Rock Deli,Dips and Pate
Salad Servers Chicken Basil Penne,$5.90,https://www.igashop.com.au/product/180000001521,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000001521.jpg",Salad Servers,Prepared Foods and Salads
Salad Servers Creamy Noodle,$4.90,https://www.igashop.com.au/product/180000001523,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000001523.jpg",Salad Servers,Prepared Foods and Salads
Salad Servers Potato Bacon & Egg,$5.90,https://www.igashop.com.au/product/180000001524,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000001524.jpg",Salad Servers,Prepared Foods and Salads
Sandhurst Tomatoes Sundried Strips,$4.50,https://www.igashop.com.au/product/145512,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/145512.jpg",Sandhurst,Antipasto
Seafood Salad,$6.25 avg/ea,https://www.igashop.com.au/product/80072059,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072059.jpg",,Prepared Foods and Salads
