name,price,product_url,image_url,category,subcategory,product_id
Primo Frankfurt Cocktail | 1kg,$6.90,https://www.coles.com.au/product/primo-frankfurt-cocktail-1kg-2140860,https://cdn.productimages.coles.com.au/productimages/2/2140860.jpg,Deli,,2140860
Kb's Thawed Cooked Jumbo Prawn Cutlets. | PERKG,$37.00,https://www.coles.com.au/product/kb's-thawed-cooked-jumbo-prawn-cutlets.-perkg-9038432,https://cdn.productimages.coles.com.au/productimages/9/9038432.jpg,Deli,,9038432
Primo Thin Frankfurt | 1kg,$6.90,https://www.coles.com.au/product/primo-thin-frankfurt-1kg-2140871,https://cdn.productimages.coles.com.au/productimages/2/2140871.jpg,Deli,,2140871
Don Honey Ham From The Deli | approx. 125g,$2.75,https://www.coles.com.au/product/don-honey-ham-from-the-deli-approx.-125g-2919634,https://cdn.productimages.coles.com.au/productimages/2/2919634.jpg,Deli,,2919634
Don Leg Shaved Ham | 200g,$5.00,https://www.coles.com.au/product/don-leg-shaved-ham-200g-6284567,https://cdn.productimages.coles.com.au/productimages/6/6284567.jpg,Deli,,6284567
Primo. Maple Streaky Bacon From The Deli | approx 1kg,$22.50,https://www.coles.com.au/product/primo.-maple-streaky-bacon-from-the-deli-approx-1kg-1155997,https://cdn.productimages.coles.com.au/productimages/1/1155997.jpg,Deli,,1155997
Hans Twiggy Sticks Mild From The Deli | approx. 100g,$2.20,https://www.coles.com.au/product/hans-twiggy-sticks-mild-from-the-deli-approx.-100g-2076615,https://cdn.productimages.coles.com.au/productimages/2/2076615.jpg,Deli,,2076615
Inghams Chicken Loaf From The Deli | approx. 100g,$1.30,https://www.coles.com.au/product/inghams-chicken-loaf-from-the-deli-approx.-100g-8690300,https://cdn.productimages.coles.com.au/productimages/8/8690300.jpg,Deli,,8690300
Don White Hungarian Salami | approx. 100g,$2.95,https://www.coles.com.au/product/don-white-hungarian-salami-approx.-100g-5185446,https://cdn.productimages.coles.com.au/productimages/5/5185446.jpg,Deli,,5185446
Coles Deli Thawed Barramundi Fillets | approx. 350g,$6.30,https://www.coles.com.au/product/coles-deli-thawed-barramundi-fillets-approx.-350g-9586449,https://cdn.productimages.coles.com.au/productimages/9/9586449.jpg,Deli,,9586449
KB's Super Tender Squid Tubes | approx 1kg,$17.00,https://www.coles.com.au/product/kb's-super-tender-squid-tubes-approx-1kg-1312075,https://cdn.productimages.coles.com.au/productimages/1/1312075.jpg,Deli,,1312075
Don Australian Made Champagne Ham From The Deli | approx. 100g,$2.60,https://www.coles.com.au/product/don-australian-made-champagne-ham-from-the-deli-approx.-100g-8140353,https://cdn.productimages.coles.com.au/productimages/8/8140353.jpg,Deli,,8140353
Coles Deli Hot Hungarian Don Salami | approx. 100g,$2.95,https://www.coles.com.au/product/coles-deli-hot-hungarian-don-salami-approx.-100g-5505376,https://cdn.productimages.coles.com.au/productimages/5/5505376.jpg,Deli,,5505376
Coles BBQ Seasoned Shredded Chicken | approx.100g,$2.20,https://www.coles.com.au/product/coles-bbq-seasoned-shredded-chicken-approx.100g-1873039,https://cdn.productimages.coles.com.au/productimages/1/1873039.jpg,Deli,,1873039
Primo Streaky Bacon | 650g,$12.50,https://www.coles.com.au/product/primo-streaky-bacon-650g-4261040,https://cdn.productimages.coles.com.au/productimages/4/4261040.jpg,Deli,,4261040
I&J Frozen Raw Prawns Tail Off | 500g,$18.00,https://www.coles.com.au/product/iandj-frozen-raw-prawns-tail-off-500g-3580166,https://cdn.productimages.coles.com.au/productimages/3/3580166.jpg,Deli,,3580166
Primo Original Twiggy Sticks | 200g,$7.00,https://www.coles.com.au/product/primo-original-twiggy-sticks-200g-6996841,https://cdn.productimages.coles.com.au/productimages/6/6996841.jpg,Deli,,6996841
Primo Thin Frankfurts From The Deli | approx. 100g,$0.79,https://www.coles.com.au/product/primo-thin-frankfurts-from-the-deli-approx.-100g-7312850,https://cdn.productimages.coles.com.au/productimages/7/7312850.jpg,Deli,,7312850
Primo Cocktail Frankfurts From The Deli | approx. 50g,$0.40,https://www.coles.com.au/product/primo-cocktail-frankfurts-from-the-deli-approx.-50g-each-499618,https://cdn.productimages.coles.com.au/productimages/4/499618.jpg,Deli,,499618
Primo Classic Chorizo 2 Pack | 250g,$6.70,https://www.coles.com.au/product/primo-classic-chorizo-2-pack-250g-6998745,https://cdn.productimages.coles.com.au/productimages/6/6998745.jpg,Deli,,6998745
I&J Frozen Raw Prawns Tail On Extra Large | 500g,$21.50,https://www.coles.com.au/product/iandj-frozen-raw-prawns-tail-on-extra-large-500g-3580177,https://cdn.productimages.coles.com.au/productimages/3/3580177.jpg,Deli,,3580177
Primo Reserve Cheese Kransky | 250g,$4.90,https://www.coles.com.au/product/primo-reserve-cheese-kransky-250g-2807460,https://cdn.productimages.coles.com.au/productimages/2/2807460.jpg,Deli,,2807460
Don Double Smoked Leg Ham | 200g,$5.00,https://www.coles.com.au/product/don-double-smoked-leg-ham-200g-6284545,https://cdn.productimages.coles.com.au/productimages/6/6284545.jpg,Deli,,6284545
Primo Reserve Kransky | 250g,$4.90,https://www.coles.com.au/product/primo-reserve-kransky-250g-3053965,https://cdn.productimages.coles.com.au/productimages/3/3053965.jpg,Deli,,3053965
Wurstel Chorizo | 300g,$6.50,https://www.coles.com.au/product/wurstel-chorizo-300g-2531664,https://cdn.productimages.coles.com.au/productimages/2/2531664.jpg,Deli,,2531664
Coles Deli Thawed Peeled Garlic Prawns | approx. 250g,$7.50,https://www.coles.com.au/product/coles-deli-thawed-peeled-garlic-prawns-approx.-250g-3165594,https://cdn.productimages.coles.com.au/productimages/3/3165594.jpg,Deli,,3165594
I&J Frozen Raw Prawns Tail On | 500g,$18.00,https://www.coles.com.au/product/iandj-frozen-raw-prawns-tail-on-500g-3580290,https://cdn.productimages.coles.com.au/productimages/3/3580290.jpg,Deli,,3580290
KR Traditional Kabana | 300g,$5.00,https://www.coles.com.au/product/kr-traditional-kabana-300g-5923944,https://cdn.productimages.coles.com.au/productimages/5/5923944.jpg,Deli,,5923944
Seabounty Fresh Blue Mussels | 1 KG,$8.00,https://www.coles.com.au/product/seabounty-fresh-blue-mussels-1-kg-5145758,https://cdn.productimages.coles.com.au/productimages/5/5145758.jpg,Deli,,5145758
Primo Hickory Smoked Rindless Middle Bacon | approx. 100g,$2.25,https://www.coles.com.au/product/primo-hickory-smoked-rindless-middle-bacon-approx.-100g-4304233,https://cdn.productimages.coles.com.au/productimages/4/4304233.jpg,Deli,,4304233
Coles Deli Semi Dried Tomatoes with Fresh Basil | approx. 100g,$2.50,https://www.coles.com.au/product/coles-deli-semi-dried-tomatoes-with-fresh-basil-approx.-100g-3067868,https://cdn.productimages.coles.com.au/productimages/3/3067868.jpg,Deli,,3067868
Primo Middle Bacon | 750g,$12.50,https://www.coles.com.au/product/primo-middle-bacon-750g-4258996,https://cdn.productimages.coles.com.au/productimages/4/4258996.jpg,Deli,,4258996
KB's Natural Squid Rings | 1kg,$15.00,https://www.coles.com.au/product/kb's-natural-squid-rings-1kg-5658424,https://cdn.productimages.coles.com.au/productimages/5/5658424.jpg,Deli,,5658424
Primo Traditional Bacon Pieces | approx. 100g,$1.59,https://www.coles.com.au/product/primo-traditional-bacon-pieces-approx.-100g-4712863,https://cdn.productimages.coles.com.au/productimages/4/4712863.jpg,Deli,,4712863
D'Orsogna Cacciatora Mild | 225g,$6.00,https://www.coles.com.au/product/d'orsogna-cacciatora-mild-225g-3110752,https://cdn.productimages.coles.com.au/productimages/3/3110752.jpg,Deli,,3110752
Zanetti Parmigiano Reggiano | 200g,$13.00,https://www.coles.com.au/product/zanetti-parmigiano-reggiano-200g-9949350,https://cdn.productimages.coles.com.au/productimages/9/9949350.jpg,Deli,,9949350
Coles Deli Pastrami | approx. 100g,$2.20,https://www.coles.com.au/product/coles-deli-pastrami-approx.-100g-1472617,https://cdn.productimages.coles.com.au/productimages/1/1472617.jpg,Deli,,1472617
Don English Style Sliced Ham | 200g,$5.00,https://www.coles.com.au/product/don-english-style-sliced-ham-200g-6284590,https://cdn.productimages.coles.com.au/productimages/6/6284590.jpg,Deli,,6284590
Hans Milano Loin Ham | approx. 100g,$2.85,https://www.coles.com.au/product/hans-milano-loin-ham-approx.-100g-7263766,https://cdn.productimages.coles.com.au/productimages/7/7263766.jpg,Deli,,7263766
Castello Creamy Blue Cheese | 300g,$12.00,https://www.coles.com.au/product/castello-creamy-blue-cheese-300g-3301830,https://cdn.productimages.coles.com.au/productimages/3/3301830.jpg,Deli,,3301830
Jindi Brie | 125g,$4.00,https://www.coles.com.au/product/jindi-brie-125g-6139229,https://cdn.productimages.coles.com.au/productimages/6/6139229.jpg,Deli,,6139229
